date,open,high,low,close,volume
1672536300000,16548,16550,16548,16550,5.796
1672536360000,16550,16550,16549.5,16549.5,4.941
1672536420000,16549.5,16550,16549.5,16549.5,4.717
1672536480000,16549.5,16550,16549.5,16550,8.77
1672536540000,16550,16550,16549.5,16549.5,6.552
1672536600000,16549.5,16550,16549.5,16549.5,4.374
1672536660000,16549.5,16550,16549.5,16549.5,8.946
1672536720000,16549.5,16550,16549.5,16550,1.675
1672536780000,16550,16550,16549.5,16549.5,6.259
1672536840000,16549.5,16550,16549.5,16549.5,0.879
1672536900000,16549.5,16550,16549.5,16550,4.68
1672536960000,16550,16555,16549.5,16554.5,9.785
1672537020000,16554.5,16555,16554.5,16555,3.772
1672537080000,16555,16555,16554.5,16555,4.189
1672537140000,16555,16555,16554,16554.5,13.441
1672537200000,16554.5,16557,16553.5,16557,62.865
1672537260000,16557,16557,16556.5,16556.5,4.078
1672537320000,16556.5,16557,16556.5,16557,9.919
1672537380000,16557,16557,16556.5,16556.5,11.731
1672537440000,16556.5,16557,16556.5,16557,5.278
1672537500000,16557,16557,16556.5,16556.5,1.428
1672537560000,16556.5,16560,16556.5,16560,10.954
1672537620000,16560,16560,16559.5,16560,11.37
1672537680000,16560,16560,16559.5,16560,7.089
1672537740000,16560,16561,16559.5,16560.5,12.149
1672537800000,16560.5,16563,16560.5,16562.5,4.643
1672537860000,16562.5,16565.5,16562.5,16565.5,10.514
1672537920000,16565.5,16565.5,16561.5,16562,14.26
1672537980000,16562,16562,16561.5,16561.5,9.446
1672538040000,16561.5,16562,16561.5,16561.5,16.006
1672538100000,16561.5,16563,16561.5,16562.5,6.799
1672538160000,16562.5,16567.5,16562.5,16567,40.98
1672538220000,16567,16570,16567,16569.5,79.484
1672538280000,16569.5,16570,16569.5,16570,3.562
1672538340000,16570,16570,16569.5,16570,23.769
1672538400000,16570,16570,16563,16563,54.65
1672538460000,16563,16563.5,16563,16563,8.694
1672538520000,16563,16563.5,16563,16563,4.356
1672538580000,16563,16563.5,16563,16563,2.582
1672538640000,16563,16563.5,16563,16563,6.861
1672538700000,16563,16563.5,16563,16563.5,4.53
1672538760000,16563.5,16563.5,16563,16563.5,4.013
1672538820000,16563.5,16563.5,16563,16563.5,5.814
1672538880000,16563.5,16563.5,16563,16563.5,8.595
1672538940000,16563.5,16563.5,16563,16563.5,3.059
1672539000000,16563.5,16563.5,16563,16563,16.344
1672539060000,16563,16563.5,16563,16563.5,3.831
1672539120000,16563.5,16563.5,16563,16563.5,4.223
1672539180000,16563.5,16563.5,16563,16563,4.296
1672539240000,16563,16570,16563,16565.5,96.059
1672539300000,16565.5,16571.5,16565.5,16571,45.275
1672539360000,16571,16571.5,16571,16571,5.694
1672539420000,16571,16571.5,16571,16571,19.489
1672539480000,16571,16571.5,16571,16571.5,4.222
1672539540000,16571.5,16571.5,16571,16571,7.545
1672539600000,16571,16571.5,16571,16571,39.249
1672539660000,16571,16571.5,16568.5,16568.5,8.25
1672539720000,16568.5,16569,16568.5,16568.5,7.797
1672539780000,16568.5,16569,16568.5,16569,4.955
1672539840000,16569,16569,16568.5,16568.5,6.189
1672539900000,16568.5,16569,16568.5,16569,4.184
1672539960000,16569,16569,16568.5,16569,15.202
1672540020000,16569,16569,16568.5,16569,14.872
1672540080000,16569,16571,16568.5,16570.5,46.072
1672540140000,16570.5,16571.5,16570.5,16571,6.253
1672540200000,16571,16571.5,16571,16571,5.369
1672540260000,16571,16571.5,16571,16571,1.05
1672540320000,16571,16574,16571,16573.5,35.281
1672540380000,16573.5,16575,16573.5,16574.5,12.549
1672540440000,16574.5,16577.5,16574.5,16577,55.513
1672540500000,16577,16577.5,16577,16577,34.582
1672540560000,16577,16577.5,16573.5,16573.5,20.528
1672540620000,16573.5,16574,16573.5,16574,4.76
1672540680000,16574,16574,16573.5,16574,23.176
1672540740000,16574,16574,16571,16571.5,6.573
1672540800000,16571.5,16571.5,16566.5,16566.5,16.456
1672540860000,16566.5,16567,16565,16565.5,27.785
1672540920000,16565.5,16565.5,16564,16564.5,3.807
1672540980000,16564.5,16564.5,16562.5,16563,14.554
1672541040000,16563,16563,16562,16562.5,5.569
1672541100000,16562.5,16562.5,16562,16562,3.83
1672541160000,16562,16562.5,16562,16562,7.554
